ZCTA,COUNTY,STATE,COUNTYFP
35592,Lamar County,AL,01075
35616,Colbert County,AL,01033
35621,Morgan County,AL,01103
35651,Lawrence County,AL,01079
36010,Pike County,AL,01109
36036,Montgomery County,AL,01101
36064,Montgomery County,AL,01101
36080,Elmore County,AL,01051
36110,Montgomery County,AL,01101
36250,Calhoun County,AL,01015
36276,Randolph County,AL,01111
36322,Dale County,AL,01045
36460,Monroe County,AL,01099
36545,Clarke County,AL,01025
36579,Baldwin County,AL,01003
36603,Mobile County,AL,01097
36782,Marengo County,AL,01091
36916,Choctaw County,AL,01023
36741,Wilcox County,AL,01131
35007,Shelby County,AL,01117
35010,Tallapoosa County,AL,01123
35020,Jefferson County,AL,01073
35043,Shelby County,AL,01117
35073,Jefferson County,AL,01073
33412,Palm Beach County,FL,12099
33435,Palm Beach County,FL,12099
33440,Hendry County,FL,12051
33442,Broward County,FL,12011
33471,Glades County,FL,12043
33514,Sumter County,FL,12119
33559,Hillsborough County,FL,12057
33578,Hillsborough County,FL,12057
33713,Pinellas County,FL,12103
33777,Pinellas County,FL,12103
33782,Pinellas County,FL,12103
33890,Hardee County,FL,12049
33950,Charlotte County,FL,12015
34113,Collier County,FL,12021
34203,Manatee County,FL,12081
34266,DeSoto County,FL,12027
34288,Sarasota County,FL,12115
34638,Pasco County,FL,12101
34787,Orange County,FL,12095
33550,Hillsborough County,FL,12057
99516,Anchorage Municipality,AK,02020
99568,Kenai Peninsula Borough,AK,02122
99615,Kodiak Island Borough,AK,02150
33433,Palm Beach County,FL,12099
33463,Palm Beach County,FL,12099
33493,Palm Beach County,FL,12099
33513,Sumter County,FL,12119
33534,Hillsborough County,FL,12057
33576,Pasco County,FL,12101
33756,Pinellas County,FL,12103
33760,Pinellas County,FL,12103
33827,Polk County,FL,12105
33860,Polk County,FL,12105
33912,Lee County,FL,12071
33931,Lee County,FL,12071
34103,Collier County,FL,12021
34135,Lee County,FL,12071
34285,Sarasota County,FL,12115
34473,Marion County,FL,12083
34614,Hernando County,FL,12053
34950,St. Lucie County,FL,12111
33022,Broward County,FL,12011
32024,Columbia County,FL,12023
32025,Columbia County,FL,12023
32040,Baker County,FL,12003
32044,Bradford County,FL,12007
32062,Suwannee County,FL,12121
99622,Bethel Census Area,AK,02050
99670,Bristol Bay Borough,AK,02060
99682,Kenai Peninsula Borough,AK,02122
99747,North Slope Borough,AK,02185
99776,Southeast Fairbanks Census Area,AK,02240
99929,Wrangell City and Borough,AK,02275
99506,Anchorage Municipality,AK,02020
99563,Kusilvak Census Area,AK,02158
99574,,,
99575,Bethel Census Area,AK,02050
99639,Kenai Peninsula Borough,AK,02122
99644,Kodiak Island Borough,AK,02150
99648,Lake and Peninsula Borough,AK,02164
99661,Aleutians East Borough,AK,02013
99723,North Slope Borough,AK,02185
99730,Yukon-Koyukuk Census Area,AK,02290
99768,Yukon-Koyukuk Census Area,AK,02290
99769,Nome Census Area,AK,02180
99826,Hoonah-Angoon Census Area,AK,02105
99515,Anchorage Municipality,AK,02020
99573,Valdez-Cordova Census Area,AK,02261
99649,Lake and Peninsula Borough,AK,02164
99737,Southeast Fairbanks Census Area,AK,02240
99755,Denali Borough,AK,02068
32073,Clay County,FL,12019
32082,St. Johns County,FL,12109
32084,St. Johns County,FL,12109
32095,St. Johns County,FL,12109
32119,Volusia County,FL,12127
32169,Volusia County,FL,12127
32234,Duval County,FL,12031
32258,Duval County,FL,12031
32324,Gadsden County,FL,12039
32356,Taylor County,FL,12123
32407,Bay County,FL,12005
32428,Washington County,FL,12133
32514,Escambia County,FL,12033
32564,Okaloosa County,FL,12091
32609,Alachua County,FL,12001
32702,Lake County,FL,12069
32757,Orange County,FL,12095
32809,Orange County,FL,12095
32909,Brevard County,FL,12009
32958,Indian River County,FL,12061
32968,Indian River County,FL,12061
33032,Miami-Dade County,FL,12086
33147,Miami-Dade County,FL,12086
33301,Broward County,FL,12011
99820,Hoonah-Angoon Census Area,AK,02105
99919,Prince of Wales-Hyder Census Area,AK,02198
99925,Prince of Wales-Hyder Census Area,AK,02198
99725,Fairbanks North Star Borough,AK,02090
99589,Bethel Census Area,AK,02050
99630,Bethel Census Area,AK,02050
99638,Aleutians West Census Area,AK,02016
99667,Matanuska-Susitna Borough,AK,02170
99722,Yukon-Koyukuk Census Area,AK,02290
99742,Nome Census Area,AK,02180
99772,Nome Census Area,AK,02180
99788,Yukon-Koyukuk Census Area,AK,02290
99827,Hoonah-Angoon Census Area,AK,02105
99501,Anchorage Municipality,AK,02020
99540,Anchorage Municipality,AK,02020
99548,Lake and Peninsula Borough,AK,02164
99565,Lake and Peninsula Borough,AK,02164
99571,Aleutians East Borough,AK,02013
99611,Kenai Peninsula Borough,AK,02122
99645,Matanuska-Susitna Borough,AK,02170
99656,Bethel Census Area,AK,02050
99671,Nome Census Area,AK,02180
99681,Bethel Census Area,AK,02050
99703,Fairbanks North Star Borough,AK,02090
33438,Palm Beach County,FL,12099
33469,Martin County,FL,12085
33538,Sumter County,FL,12119
33610,Hillsborough County,FL,12057
33614,Hillsborough County,FL,12057
33635,Hillsborough County,FL,12057
33710,Pinellas County,FL,12103
33839,Polk County,FL,12105
33909,Lee County,FL,12071
33946,Charlotte County,FL,12015
34120,Collier County,FL,12021
34201,Manatee County,FL,12081
34292,Sarasota County,FL,12115
34446,Citrus County,FL,12017
34498,Levy County,FL,12075
34698,,,
34746,Osceola County,FL,12097
34972,Okeechobee County,FL,12093
32081,St. Johns County,FL,12109
32087,Baker County,FL,12003
32096,Hamilton County,FL,12047
32131,Putnam County,FL,12107
32148,Putnam County,FL,12107
32222,Duval County,FL,12031
32060,Suwannee County,FL,12121
32066,Lafayette County,FL,12067
32080,St. Johns County,FL,12109
32092,St. Johns County,FL,12109
32094,Suwannee County,FL,12121
32205,Duval County,FL,12031
32331,Madison County,FL,12079
32430,Calhoun County,FL,12013
32565,Santa Rosa County,FL,12113
32656,Clay County,FL,12019
